ori_tissue,ori_cell_type,search_result
esophagus,effector th2-like cell,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
esophagus,effector th2 cell,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
esophagus,regulatory t(treg) cell,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
esophagus,regulatory t(treg) cell,"organ_tissue=skin, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=lymph_node, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell"
esophagus,t helper 2(th2) cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
esophagus,t helper 2(th2) cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
esophagus,regulatory t(treg) cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
esophagus,t helper 2(th2) cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
esophagus,regulatory t(treg) cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
gut,regulatory t(treg) cell,"organ_tissue=lymph_node, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=lymph_node, cell_ontology_class=t cell, free_annotation=t cell"
gut,regulatory t(treg) cell,"organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t_cells"
gut,regulatory t(treg) cell,"organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t_cells"
